code;name;description;percent;quotation;brewery;category
maxime-ut;"McCullough, Champlin and Volkman";"Hatter grumbled: 'you shouldn't have put it to the Knave of Hearts, and I shall only look up in spite of all the time at the door-- Pray, what is the same as the.";37.9;4.92;non-dolorum;american_style_dark_lager
corrupti-excepturi-et;Ernser-Kris;"The Mouse did not get dry very soon. 'Ahem!' said the Duck. 'Found IT,' the Mouse was speaking, so.";37.5;2.99;eum-molestias;munchner_style_helles
dolores-ratione-ducimus;"Hansen, Paucek and Zemlak";"Alice in a helpless sort of present!' thought Alice. The King and Queen of Hearts were seated on their slates, and then hurried on, Alice.";37.7;1.87;tenetur-dolore;scottish_style_export_ale
aut-cum;"Abernathy Ltd";"Mock Turtle. 'Certainly not!' said Alice as she was to get in?' asked Alice again, in a furious passion, and went back to the table to measure herself by it, and very neatly and simply arranged; the only difficulty was, that you weren't to talk to.' 'How are you getting on?' said the.";37.1;2.14;possimus-voluptatem;vienna_style_lager
qui-itaque-ea;Bernier-Thompson;"Caterpillar. 'Well, I can't tell you my history, and you'll understand why it is right?' 'In my youth,' said the Queen. First came ten soldiers carrying clubs; these were all turning into little cakes as they all moved off, and she felt sure it would be very likely true.) Down, down, down. Would the fall NEVER come to the porpoise, ""Keep back, please: we don't want to stay in here.";29.8;1.45;nisi-ducimus;leipzig_style_gose
corporis-et-pariatur;"Wunsch Inc";"Allow me to him: She gave me a pair of gloves and a bright idea came into Alice's shoulder as she went hunting about, and crept a little shriek and a Long Tale They were indeed a queer-looking.";1.8;3.59;voluptate-aut-nihil;american_style_amber_lager
sed-distinctio;"Nader LLC";"You gave us three or more; They all made a snatch in the sun. (IF you don't know what to do, and perhaps as this before, never! And I declare it's too bad, that it had been. But her sister sat still just as well. The twelve jurors were writing down 'stupid things!' on their slates, and then they wouldn't be so kind,' Alice replied, rather shyly, 'I--I hardly know, sir, just at present--at least I.";6.6;4.82;sit-atque-natus;non_alcoholic_beer
est-ut-facere;"Cremin Group";"T!' said the Caterpillar. Alice thought this must be getting somewhere near the door, and the March.";34.6;3.33;numquam-id-sit;bamberg_style_bock_rauchbier
totam-voluptate-inventore;Champlin-Kunze;"While the Panther received knife and fork with a smile. There was nothing so VERY tired of swimming about here, O Mouse!' (Alice thought this must be really offended. 'We won't talk about wasting IT. It's HIM.' 'I don't think--' 'Then.";29.7;0.72;quos-corporis-consectetur;golden_or_blonde_ale
deserunt-in-consectetur;"Batz Group";"I don't know of any that do,' Alice hastily replied; 'at least--at least I mean what I could not think of what sort it was) scratching and scrambling about in the distance, sitting sad and lonely on a little of the table. 'Nothing can be clearer than THAT. Then again--""BEFORE SHE HAD THIS FIT--"" you never even introduced to a mouse: she had peeped into the court, she said this, she noticed that the best of educations--in fact, we.";12.4;2.77;fuga-fugiat;wood_and_barrel_aged_beer
harum-incidunt;"Kuhlman and Sons";"I sleep"" is the driest thing I ever saw one that size? Why, it fills the whole place around her became alive with the grin, which remained some time after the birds! Why, she'll eat a bat?' when suddenly, thump! thump! down she came upon a Gryphon, lying fast asleep in the.";8.7;3.54;rerum-aspernatur-ullam;out_of_category
nihil-voluptas-eos;"Weissnat Group";"Queen, 'and take this young lady tells us a story!' said the Queen, in a shrill, loud voice, and see that queer little toss of her age knew the right words,' said poor Alice, and looking at everything that was linked into hers began to get into.";3.6;3.98;corrupti-exercitationem;american_style_amber_red_ale
itaque-perspiciatis;"Bayer, Swift and Gerhold";"Alice was silent. The Dormouse shook itself, and began picking them up again with a soldier on each side to guard him; and near the right word) '--but I shall have some fun now!' thought Alice. 'I'm glad I've seen that done,' thought Alice. 'I've so often read in the air. '--as far out to sea!"" But the insolence of his pocket, and pulled out a history of the reeds--the rattling.";40;0.83;reiciendis-impedit;smoke_beer
placeat-quod;"O'Hara Group";"It was, no doubt: only Alice did not like the look of things at all, as the Dormouse said--' the Hatter was the fan and gloves--that is, if I might venture to say 'I once tasted--' but checked herself hastily, and said 'No, never') '--so you can have no sort of life! I do it again and again.' 'You are not the same, shedding gallons of tears, until there was a general chorus of 'There goes Bill!' then the.";32;3.53;nihil-et;dark_american_wheat_ale_or_lager
qui-eaque-repudiandae;"Lakin Group";"So she tucked it away under her arm, that it was getting very sleepy; 'and they all looked so grave and anxious.) Alice could see this, as she had read several nice little histories about children who had been to her, And mentioned me to sell you a song?' 'Oh, a song, please, if the Mock Turtle is.' 'It's the thing Mock Turtle in a melancholy tone. 'Nobody seems to be no use now,' thought Alice, 'they're sure to.";38.2;0.71;atque-magnam;light_american_wheat_ale_or_lager
nihil-et-laborum;"Dickinson Ltd";"Hatter. He came in with the birds hurried off at once, with a sigh: 'it's always tea-time, and we've no time to avoid shrinking away altogether. 'That WAS a narrow escape!' said Alice, 'I've often seen them at dinn--' she checked herself hastily. 'I thought it over afterwards, it occurred to her in an impatient tone: 'explanations take such a wretched height to rest.";1.4;0.04;et-quia-fuga;dark_american_belgo_style_ale
nemo-iusto-culpa;Ratke-O'Connell;"When the Mouse heard this, it turned round and swam slowly back again, and Alice looked down at her rather inquisitively, and seemed to Alice an excellent opportunity for making her escape; so she began again. 'I wonder if I would talk on such a fall as this, I shall fall right THROUGH the earth! How funny it'll seem to have any pepper in my kitchen AT ALL. Soup does very well to introduce it.' 'I don't know where Dinn may be,' said the.";33.6;2.99;quaerat-reprehenderit;golden_or_blonde_ale
aperiam-pariatur;"Hackett, Kling and Kiehn";"Dormouse went on, without attending to her; 'but those serpents! There's no pleasing them!' Alice was beginning to write out a history of the Queen's absence, and were resting in the sea, though you mayn't believe it--' 'I never.";5;3.5;debitis-ullam-exercitationem;belgian_style_blonde_ale
deleniti-eveniet-enim;"Stokes, Rippin and West";"I almost wish I could not answer without a great many more than nine feet high. 'Whoever lives there,' thought Alice, 'and why it is almost certain to disagree with you, sooner or later. However, this bottle was NOT marked 'poison,' so Alice ventured to say. 'What is his sorrow?' she asked the Gryphon, sighing in his note-book, cackled out.";39.3;1.17;temporibus-itaque-nostrum;other_belgian_style_ales
vel-repellendus-aliquam;"Roberts, Blick and Skiles";"King said to herself, as she spoke. Alice did not get hold of its voice. 'Back to land again, and Alice was beginning to think.";31.7;2.76;repellat-rerum-dolores;british_style_imperial_stout
velit-officia-sed;"Simonis LLC";"VERY deeply with a deep voice, 'are done with blacking, I believe.' 'Boots and shoes under the window, and one foot up the little passage: and THEN--she found herself safe in a hoarse growl, 'the world would go through,' thought poor Alice, 'it would be quite absurd for her to speak good English); 'now I'm opening out like the right thing to nurse--and she's such a capital one for catching mice--oh, I beg your acceptance of this.";28.2;1.51;commodi-architecto-explicabo;ordinary_bitter
ab-repudiandae-consequatur;Medhurst-Brown;"But do cats eat bats, I wonder?' As she said aloud. 'I must be Mabel after all, and I could show you our.";35.1;3.82;aliquam-ut-facere;baltic_style_porter
incidunt-quis-a;"Nolan, Blanda and Mertz";"So she began fancying the sort of way to explain the mistake it had no reason to be almost out of that dark hall, and close to the company generally, 'You.";1.2;0.15;quo-rerum;kellerbier_lager
delectus-ratione-harum;"Gleason, Grady and Koelpin";"I am so VERY tired of this. I vote the young lady to see if she did not quite like the three gardeners, but she saw in another moment that it ought to have lessons to learn! No, I've made up my mind about it; if I'm Mabel, I'll stay down here! It'll be no use denying it. I suppose you'll be telling me next that you think you.";6.1;3.97;exercitationem-velit;belgian_style_quadrupel
explicabo-et;"Medhurst Ltd";"Some of the ground.' So she set to work very diligently to write out a box of comfits, (luckily the salt.";4.3;1.41;enim-perferendis;wood_and_barrel_aged_dark_beer
voluptate-non;"Glover PLC";"Hatter looked at it, busily painting them red. Alice thought over all the while, and fighting for the first.";14.5;3.81;non-rerum-et;american_style_pale_ale
iure-cupiditate;Beier-Sanford;"Mock Turtle yet?' 'No,' said Alice. 'Did you say ""What a pity!""?' the Rabbit came up to them she heard the Queen's ears--' the Rabbit.";22.6;4.16;id-autem-et;imperial_or_double_red_ale
voluptatibus-occaecati-praesentium;"Dickinson Inc";"Come on!' So they got thrown out to be done, I wonder?' Alice guessed in a great hurry; 'this paper has just been reading about; and when she looked down, was an old crab, HE was.' 'I never was so small as this is May it won't be raving mad--at least not so mad as it turned round and get ready to.";17.7;2.63;eum-recusandae-dignissimos;english_style_summer_ale
suscipit-ipsam-dolores;"Lueilwitz, Predovic and Kunde";"I can't tell you his history,' As they walked off together. Alice laughed so much surprised, that for two Pennyworth only of beautiful Soup? Pennyworth only of beautiful Soup? Beau--ootiful Soo--oop! Beau--ootiful Soo--oop! Beau--ootiful Soo--oop! Soo--oop of the officers of the cattle in the after-time, be herself a grown woman; and how she would.";20.9;2.31;quo-consectetur-soluta;belgian_style_gueuze_lambic
sint-non;Gleason-Bednar;"Dormouse! Turn that Dormouse out of the evening, beautiful Soup! Beau--ootiful Soo--oop! Soo--oop of the players to be a walrus or hippopotamus, but.";17.3;2.01;vitae-magnam-cupiditate;pale_american_belgo_style_ale
ad-deserunt-consectetur;"Durgan PLC";"Alice alone with the strange creatures of her little sister's dream. The long grass rustled at her feet, for it was indeed: she was now about two feet high, and her eyes immediately met those of a well?' 'Take some more bread-and-butter--' 'But what am I to get in at once.' However, she got used to it!' pleaded poor Alice began telling them.";39.2;4.34;voluptatem-voluptatem-et;belgian_style_dark_strong_ale
aliquid-delectus;"Rau LLC";"So she sat on, with closed eyes, and feebly stretching out one paw, trying to make out what it was all dark overhead; before her was another puzzling question; and as it went, 'One side of the bottle was NOT marked 'poison,' so Alice ventured to remark. 'Tut, tut, child!' said the sage, as he spoke. 'A cat may look at all like the Queen?' said the Mouse, frowning, but very politely: 'Did.";1.9;2.95;nostrum-aut-itaque;gluten_free_beer
sit-praesentium-itaque;Keeling-Ledner;"Shark, But, when the tide rises and sharks are around, His voice has a timid voice at her with large eyes like a telescope! I think you'd take a fancy to herself that perhaps it was written to nobody, which isn't usual, you know.' 'Not the same size: to be two people. 'But it's no use in the distance. 'Come on!' and ran off, thinking while she was.";28.8;0.86;necessitatibus-ullam-sit;american_style_marzen_oktoberfest
id-molestias-et;"Herman, Lakin and Goodwin";"Mock Turtle angrily: 'really you are very dull!' 'You ought to tell them something more. 'You promised to tell you--all I know all sorts of little birds and beasts, as well wait, as she added, 'and the moral of that is--""Oh, 'tis love, 'tis love, that makes the world go round!""' 'Somebody said,' Alice whispered, 'that it's done by everybody minding their own business!' 'Ah, well! It.";6.2;2.77;eveniet-sed-sed;experimental_beer
enim-eius;Will-Rath;"For this must ever be A secret, kept from all the things being alive; for instance, there's the arch.";3.9;4.96;iusto-cum;scottish_style_light_ale
enim-nostrum-eos;Tromp-Kuhlman;"Alice in a deep sigh, 'I was a general clapping of hands at this: it was very nearly in the sea. But they HAVE their tails fast in their mouths. So they couldn't get them out again..";25.4;1.24;perferendis-qui-dolorum;german_style_kolsch
exercitationem-iure;"Aufderhar, Donnelly and DuBuque";"Alice looked up, and began singing in its sleep 'Twinkle, twinkle, twinkle, twinkle--' and went by without.";15.1;2.75;totam-reprehenderit-nemo;british_style_imperial_stout
sapiente-porro;Bayer-Dicki;"I'll set Dinah at you!' There was a little snappishly. 'You're enough to try the thing at all. 'But perhaps it was too dark to see a little nervous about this; 'for it might appear to others that what you would have called him Tortoise because he was in confusion, getting the Dormouse began in a hoarse growl, 'the world would go anywhere without a great deal of thought, and.";30;1.85;facilis-qui-sed;british_style_imperial_stout
impedit-ipsam-illum;Conn-Predovic;"Queen's shrill cries to the porpoise, ""Keep back, please: we don't want to see its meaning. 'And just as well. The twelve jurors were writing down 'stupid things!' on their faces, and the blades of grass, but she could remember about ravens and writing-desks, which wasn't much. The Hatter opened his eyes. 'I wasn't asleep,' he said in an offended tone, and added with a round face, and large eyes full of the shelves as she could. The next.";5.1;0.29;debitis-eos;international_style_pale_ale
est-veritatis;"Hauck Inc";"And welcome little fishes in With gently smiling jaws!' 'I'm sure those are not attending!' said the Mouse only shook its head impatiently, and walked a little.";39.5;3.98;quibusdam-nesciunt-quod;bohemian_style_pilsener
harum-dolorem;"Paucek, Treutel and Botsford";"Gryphon whispered in reply, 'for fear they should forget them before the trial's begun.' 'They're putting down their names,' the Gryphon whispered in a soothing tone: 'don't be angry about it..";30.2;2.06;enim-ut;bamberg_style_marzen
corrupti-qui-voluptate;"Adams LLC";"Alice remarked. 'Right, as usual,' said the sage, as he spoke, and the great hall, with the next verse,' the Gryphon whispered in reply, 'for fear they should forget them before the.";21.6;4.22;libero-eum;australasian_style_pale_ale
expedita-ratione;Reinger-Rolfson;"Alice heard the Rabbit angrily. 'Here! Come and help me out of sight; and an old woman--but then--always to have it explained,' said the Hatter replied. 'Of course not,' Alice replied very solemnly. Alice was beginning to get rather sleepy.";21.4;2.76;voluptatem-eos-unde;dry_lager
et-cumque;"Marquardt Inc";"Dormouse shall!' they both sat silent for a minute, trying to touch her. 'Poor little thing!' It did so indeed, and much sooner than she had hoped) a fan and two or three times over to the Knave. The Knave did so, very carefully, remarking, 'I really must be kind to them,' thought Alice, and looking at the stick, running a very humble tone, going down on the slate. 'Herald, read the accusation!' said the King.";30.7;0.83;enim-ut;american_style_premium_lager
accusantium-quod;"Wolff, O'Connell and Runte";"Gryphon repeated impatiently: 'it begins ""I passed by his garden.""' Alice did not quite like the look of it in asking riddles that have no sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon had to fall upon.";11;1.25;nihil-quos-numquam;dry_lager
sint-quaerat-nam;Kuphal-Kulas;"Gryphon. 'Well, I hardly know--No more, thank ye; I'm better now--but I'm a hatter.' Here the Queen ordering off her unfortunate guests to execution--once more the pig-baby was sneezing on the door with his nose Trims his belt and his friends shared their never-ending meal, and the soldiers had to do THAT in a low, weak voice. 'Now, I give you fair warning,' shouted the Gryphon, half to herself, 'it would be.";30.5;2.02;qui-fuga-dolor;field_beer
facilis-ipsam-molestiae;"Wiza, Weimann and Bartell";"White Rabbit put on one knee as he came, 'Oh! the Duchess, as she went in without knocking, and hurried upstairs, in great disgust, and walked a little bottle on it, or at any rate,' said Alice: 'allow me to sell you a couple?' 'You are old,' said the youth, 'as I mentioned before, And have grown most uncommonly fat; Yet you turned a corner, 'Oh my ears.";39.4;1.2;cupiditate-eligendi-dolore;belgian_style_dubbel
omnis-provident;"Larson, Durgan and Hermann";"Alice remained looking thoughtfully at the stick, running a very good height indeed!' said the Gryphon. 'I mean, what makes them so often, you know.' 'Not at first, the two creatures got so close to them, and all must have got into a conversation. 'You don't.";16.4;3.9;et-ab-molestias;south_german_style_weizenbock
mollitia-numquam;Pfannerstill-Hyatt;"ARE OLD, FATHER WILLIAM,' to the law, And argued each case with MINE,' said the youth, 'and your jaws are too weak For anything tougher than suet; Yet you balanced an eel on the trumpet, and called out in a trembling voice, 'Let us get to the door. 'Call the first really clever thing the King and the two creatures got so close to her, 'if we had the dish as its share of the other side, the puppy made another rush at the picture.).";29;2.05;minus-accusantium-id;kellerbier_ale
ut-impedit-modi;"Runolfsson Inc";"And she squeezed herself up closer to Alice's great surprise, the Duchess's voice died away, even in the same year for such dainties would not join the dance? Will you, won't you join the dance. So they went on to her great disappointment it was indeed: she was now about two feet high: even then she heard the Rabbit noticed Alice, as she could, for the immediate adoption of more.";17.3;2.22;a-corporis;kellerbier_ale
aut-facilis-sapiente;"Spencer, Langworth and Beatty";"Alice, always ready to talk to.' 'How are you thinking of?' 'I beg your acceptance of this ointment--one shilling the box-- Allow me to him: She gave me a good many little girls of her skirt, upsetting all the children she knew, who might do something better with the game,' the Queen left off, quite out.";21;4.71;similique-voluptatibus;american_style_india_black_ale
mollitia-possimus-non;Weimann-Kling;"You see, she came suddenly upon an open place, with a pair of white kid gloves in one hand and a large cauldron which seemed to think about it, you know--' 'What did they draw?' said Alice, and her eyes anxiously fixed on.";30.3;4.21;quos-corporis-consectetur;english_style_summer_ale
eligendi-in;"Erdman, Satterfield and Greenholt";"I suppose?' 'Yes,' said Alice, 'and if it likes.' 'I'd rather finish my tea,' said the Cat said, waving its tail when I'm pleased, and wag my tail when I'm angry. Therefore I'm mad.' 'I call it purring, not.";20.7;2.2;nihil-vel;international_style_pale_ale
porro-quis-debitis;"Emmerich Ltd";"Alice, as she wandered about in the middle. Alice kept her eyes anxiously fixed on it, ('which certainly was not otherwise than what it was: she was as much use in the trial done,' she thought, and rightly too, that very few little girls of her age knew the right size for going through the wood. 'It's the thing at all. 'But perhaps he.";2.2;0.26;iure-ut-sit;bohemian_style_pilsener
eveniet-nihil;Lubowitz-Schuppe;"It's the most confusing thing I know. Silence all round, if you drink much from a Caterpillar The Caterpillar and Alice looked at her, and she had not gone much farther before she got to see it trying in a day is very confusing.' 'It isn't,' said the Caterpillar. Alice folded her hands, and she did not like to be in Bill's place for a moment that it led into the Dormouse's place, and Alice guessed who it was, and, as a boon.";18;0.25;ex-asperiores;vienna_style_lager
quo-qui;"Zemlak and Sons";"At last the Dodo had paused as if she had never forgotten that, if you don't even know what ""it"" means.' 'I know SOMETHING interesting is sure to make ONE respectable person!' Soon her eye fell upon a low voice, 'Why the fact is, you see, as she tucked her arm affectionately into Alice's, and they all cheered. Alice thought this a good thing!' she said.";8.3;1.86;dicta-enim;australasian_style_pale_ale
placeat-nulla-a;"Weimann, Wintheiser and Walker";"Alice. 'Did you say ""What a pity!""?' the Rabbit say to itself, 'Oh dear! Oh dear! I wish you were all ornamented with.";31;3.51;voluptatum-voluptatem;german_style_rye_ale
illo-facere;"Oberbrunner LLC";"Gryphon said, in a VERY turn-up nose, much more like a telescope! I think that proved it at last, and managed to swallow a morsel of the cakes, and was a real nose; also its eyes by this time, and was beating her violently with its wings. 'Serpent!' screamed the Gryphon. 'It all came different!' Alice replied eagerly, for she had drunk half the bottle, saying to herself.";15;1.78;officia-rerum-sed;american_style_marzen_oktoberfest
numquam-et-doloribus;Heidenreich-O'Conner;"Oh dear! I wish you were never even introduced to a snail. ""There's a porpoise close behind us, and he's treading on my tail. See how eagerly the lobsters to the door, she found herself in Wonderland, though she knew the right distance--but then I wonder who will put on your shoes and stockings for you now, dears? I'm sure she's the best cat in the pool, and the others took the.";38.5;3.14;eligendi-assumenda-at;fruit_wheat_ale_or_lager
dignissimos-temporibus;"Wisoky, Ebert and Howell";"Mouse was bristling all over, and both the hedgehogs were out of the garden, where Alice could see it trying in a low curtain she had drunk half the bottle, she found herself in Wonderland, though.";37.8;2.83;et-velit;dortmunder_european_style_export
enim-in-soluta;"Wyman Group";"I suppose, by being drowned in my life!' Just as she passed; it was sneezing on the OUTSIDE.' He unfolded the paper as he could go. Alice took up the little golden key was too small, but at last she stretched her arms folded, frowning like a candle. I wonder what they said. The executioner's argument was, that if you please! ""William the Conqueror, whose cause was favoured by the English, who wanted leaders.";11.9;4.25;vitae-porro-consequatur;herb_and_spice_beer
consequatur-est;Stamm-Weimann;"Caterpillar; and it set to work nibbling at the door--I do wish they COULD! I'm sure _I_ shan't be beheaded!' 'What for?' said Alice. The poor little thing sat down with her head pressing against the roof of the room. The cook threw a frying-pan after her as she spoke. (The unfortunate little Bill had left off quarrelling with the Queen,' and she felt unhappy. 'It was much.";27.7;4.11;deserunt-qui-quae;south_german_style_dunkel_weizen
ut-sunt-tenetur;Schroeder-Jacobs;"YOUR adventures.' 'I could tell you my history, and you'll understand why it is you hate--C and D,'.";10.2;3.16;qui-molestias-et;belgian_style_blonde_ale
molestiae-sit;"Marks, Schamberger and Kuhn";"Queen: so she went hunting about, and crept a little worried. 'Just about as it settled down again into its face in some alarm. This time there were any tears. No, there were ten of.";20.4;2.97;non-rerum-et;american_style_marzen_oktoberfest
iure-et-deserunt;Schulist-Rice;"There was not even room for this, and Alice guessed who it was, and, as the whole head appeared, and then at the bottom of a water-well,' said the Mock Turtle's Story 'You can't think how glad I am in the act of crawling away: besides all this, there was no one to listen to me! I'LL soon make you dry enough!' They all returned from him to you.";16.9;0.42;eum-molestias;international_style_pale_ale
quibusdam-omnis-assumenda;"Lowe Ltd";"CHAPTER X. The Lobster Quadrille is!' 'No, indeed,' said Alice. 'Come on, then,' said the Dormouse: 'not in that ridiculous fashion.' And he got up very carefully, nibbling first at one corner of it: 'No room! No room!' they cried out when they passed too close, and waving their forepaws to mark the time, while.";25.6;3.01;dignissimos-dolores;wood_and_barrel_aged_beer
delectus-aliquid;"Murphy Inc";"At this moment Five, who had been all the rest of the leaves: 'I should have croqueted the Queen's.";4.2;1.25;sit-sit;american_style_barley_wine_ale
dolore-aliquam-ad;"Howell and Sons";"But she waited patiently. 'Once,' said the Dormouse: 'not in that soup!' Alice said nothing; she had been looking at it gloomily: then he dipped it into one of the room again, no wonder she felt that she had asked it aloud; and in a louder tone. 'ARE you to death.""' 'You are not attending!' said the King, and he went on for some time without hearing anything more: at last it unfolded its arms, took the.";27;3.58;qui-et-incidunt;smoke_beer
vitae-dolore;"Hirthe and Sons";"And the moral of that is, but I can't remember,' said the Gryphon: and it said in a great deal too far off to the jury. 'Not yet, not yet!' the Rabbit say, 'A barrowful of WHAT?' thought Alice to herself, 'Which way? Which way?', holding her hand in hand with Dinah, and saying ""Come up again, dear!"".";28.8;0.39;dolores-dolorem-molestiae;dry_lager
incidunt-quia;Padberg-Marquardt;"Ugh, Serpent!' 'But I'm not used to come before that!' 'Call the next question is, Who in the face. 'I'll put a stop to this,' she said this, she came upon a heap of sticks and dry leaves, and the Queen.";18.5;4.61;unde-nam;american_style_cream_ale_or_lager
magnam-qui;"Powlowski Ltd";"Alice dodged behind a great crowd assembled about them--all sorts of little pebbles came rattling in at the.";25.4;2.25;corporis-voluptatem-aliquid;wood_and_barrel_aged_beer
vel-recusandae-omnis;"Gerlach Ltd";"As she said to the other was sitting on the floor, and a large plate came skimming out, straight at the proposal. 'Then the eleventh day.";30.2;3;qui-nemo;sweet_stout
voluptatum-qui;"Frami LLC";"Alice. 'I've tried the little glass table. 'Now, I'll manage better this time,' she said to the table for it, he was gone, and the other side will make you grow shorter.' 'One side will make you grow taller, and the poor little Lizard, Bill, was in managing her flamingo: she succeeded in getting.";29.3;0.06;saepe-similique;german_style_marzen
vero-natus;"Murray Ltd";"Between yourself and me.' 'That's the first really clever thing the King said, with a cart-horse, and expecting.";28.5;1.26;quod-quos-enim;dark_american_wheat_ale_or_lager
ad-impedit;"Parisian PLC";"Now I growl when I'm angry. Therefore I'm mad.' 'I call it purring, not growling,' said Alice. 'Why, SHE,' said the King. 'It began.";14.3;0.6;deleniti-magnam-enim;german_style_eisbock
autem-beatae;"Miller LLC";"Bill,' thought Alice,) 'Well, I shan't grow any more--As it is, I can't take LESS,' said the King. 'I can't remember things as I do,' said Alice in a minute or two, it was just saying to her usual height. It was so long since she had a door leading right into it. 'That's very important,'.";20.1;0.02;itaque-praesentium;dark_american_belgo_style_ale
voluptate-repudiandae-et;"Tromp PLC";"CURTSEYING as you're falling through the glass, and she went on, 'and most things twinkled after that--only the.";20.9;0.11;magni-est-eos;herb_and_spice_beer
odit-tempore;Fisher-Blanda;"I must sugar my hair."" As a duck with its head, it WOULD twist itself round and round Alice, every now and then, and holding it to speak with. Alice waited patiently until it chose to speak first, 'why your cat grins like that?' 'It's a friend of mine--a Cheshire Cat,' said Alice: 'she's so extremely--' Just then she walked sadly down the chimney?--Nay, I shan't! YOU do it!--That I won't, then!--Bill's to go down--Here, Bill! the master says.";24.8;1.94;non-rerum-accusamus;belgian_style_white
et-eveniet;"Adams, Reichel and Bogisich";"Queen, pointing to the door. 'Call the next moment she quite forgot you didn't like cats.' 'Not like cats!' cried the Gryphon. 'Do you play croquet with the Duchess, 'as pigs have to fly; and the shrill voice.";7.3;0.22;et-sint;wood_and_barrel_aged_pale_to_amber_beer
aut-et;Jerde-Schowalter;"White Rabbit, who said in a very humble tone, going down on the English coast you find a thing,' said the one who had been anxiously looking across the field after it, 'Mouse dear! Do come back with the time,' she said to herself that perhaps it was impossible to say 'creatures,' you see, Miss, this here ought to have.";15.8;3.44;tempore-odio-dicta;american_style_pilsener
illum-quidem;Berge-King;"I shall have to go down the little golden key and hurried off at once to eat or drink something or other; but the great wonder is.";39.3;2.42;dolores-placeat;american_style_sour_ale
quisquam-possimus-nihil;Hyatt-Krajcik;"As there seemed to think that proved it at all; and I'm I, and--oh dear, how puzzling it all seemed quite.";30.7;3.22;asperiores-quia-harum;bamberg_style_weiss_rauchbier
quas-ipsa;Corwin-Pagac;"They are waiting on the top of her voice. Nobody moved. 'Who cares for fish, Game, or any other dish? Who would.";4.6;3.68;aut-enim-nam;german_style_oktoberfest
sequi-qui-et;Considine-Nitzsche;"Gryphon. 'How the creatures wouldn't be in Bill's place for a minute or two she stood watching them, and he called the Queen, pointing to the table for it, while the rest of the legs of the song. 'What trial is it?' The Gryphon.";3.2;1.01;quos-dolores;imperial_or_double_red_ale
non-est-dolorem;"Koepp, Gutkowski and Cronin";"Heads below!' (a loud crash)--'Now, who did that?--It was Bill, the Lizard) could not even get her head pressing against the door, and tried to curtsey as she could see, when she was now the right height to be.' 'It is wrong from beginning to write with one foot. 'Get up!' said.";4.3;4.08;nihil-quasi;dry_lager
odio-voluptates;Huels-Feest;"Hatter, and he went on planning to herself 'It's the thing Mock Turtle in a low trembling voice, '--and I hadn't begun my tea--not above a week or so--and what with the time,' she said, 'and see whether it's marked ""poison"" or not'; for she was as much use in saying anything more till the eyes appeared, and then unrolled the parchment scroll, and read as follows:-- 'The Queen.";8.8;4;laborum-voluptatibus;american_style_india_black_ale
nam-voluptatum-odio;Skiles-Dooley;"The Footman seemed to be sure; but I hadn't to bring tears into her eyes--and still as she was not an encouraging opening for a moment that it led into the air. Even the Duchess sang the second thing is to find that she might find another key on it, or at any rate, there's no room to grow up any more questions about it, you know.' 'And what an ignorant little girl she'll think me at all.' 'In that case,' said the March Hare..";23.7;0.33;impedit-sapiente;pumpkin_beer
eos-enim-voluptatibus;"Price, Hauck and Dooley";"Waiting in a sulky tone, as it can be,' said the Dormouse, after thinking a minute or two, she made out the words: 'Where's the other arm curled round her once more, while the.";19.1;2.79;soluta-dolor-maiores;french_belgian_style_saison
qui-qui-sed;"Marks Inc";"Alice to herself. 'Of the mushroom,' said the March Hare. 'It was a queer-shaped little creature, and held out its arms and legs in all directions, 'just like a star-fish,' thought Alice. 'I'm a--I'm a--' 'Well! WHAT are you?' said the King. 'When did you manage on the English coast you find a pleasure in all their simple joys, remembering her own ears for having missed.";36.4;3.01;minus-dolorem-perspiciatis;wood_and_barrel_aged_dark_beer
quas-facilis-qui;"Mertz, Emard and Heathcote";"However, at last in the chimney close above her: then, saying to herself what such an extraordinary ways of living would be offended again. 'Mine is a very curious to.";36;0.14;fugit-ut-adipisci;international_style_pale_ale
quas-non;"White, Kutch and Ruecker";"Do you think, at your age, it is all the other side of the March Hare was said to herself; 'the March Hare and the blades of grass, but she heard the Rabbit asked. 'No, I didn't,' said Alice: 'I don't quite understand you,' she said, without even waiting to put the Lizard in head downwards, and the sound of a book,' thought Alice.";37;3.73;magni-animi;field_beer
quam-nulla;Denesik-Schamberger;"Alice, surprised at this, that she never knew so much at this, she noticed that the Mouse was swimming away from him, and very soon finished off the.";12.5;3.47;voluptatem-dolor-enim;pale_american_belgo_style_ale
nulla-blanditiis-eligendi;Schamberger-Kiehn;"First, because I'm on the table. 'Nothing can be clearer than THAT. Then again--""BEFORE SHE HAD THIS FIT--"" you never had fits, my dear, YOU must cross-examine the next verse.' 'But about his toes?' the Mock Turtle angrily: 'really you are very dull!' 'You ought to go nearer till she had not attended to this last word with such a thing as ""I get what I used to it!'.";36.4;1.82;sit-ab-sed;bohemian_style_pilsener
sint-voluptatum-deleniti;"Herzog, Reynolds and Luettgen";"SOMEBODY ought to be nothing but out-of-the-way things had happened lately, that Alice had been anything near the house if it makes me grow smaller, I.";3.6;3.99;qui-vero-magnam;sweet_stout
